
#Royals are 4-1 when I'm in attendance so far. Hope we beat the hell out of these guys and send the bandwagoners home unhappy.	0	2	
No, que jueguen entre ellos. Pero los New York Yankees no juegan contra los Lewiston Pigeons.	0	0	
Dr. Vargas is making a house call. Hoping his scalpel is sharp tonight. #Royals	0	2	
Who's having a better season statistically?	0	1	
Like CC Sabathia before him, Michael Pineda has to exploit the Royals ' aggressiveness tonight. #YANKSonYES pic.twitter.com/b9aAnu5scR	12	45	
@TheJudge44 Got my daughters jersey ready for the Memorial Day game! #Yankees pic.twitter.com/Ye6aec8ZTK	0	1	
At a yankees & royals game and I'm THAT bitch in hot pink while everyone else is in blue, white, or grey lol Stickin out like a sore thumb	0	7	
Met Brian Cashman (GM of the Yankees ), and Steve Phillips (former Mets GM) tonight!!! pic.twitter.com/Ab5Gmj0hjx	0	5	
lLAMAOAO Miguel won a triple crown and kicked the Yankees ass. And he he almost won another next season. Just stop.	0	0	
MLB: Yankees might be buyers and not sellers when trade deadline approaches http:// ift.tt/2rgE6OT	0	0	
#YANKEES / #ROYALS OVER 8.5 (-115) 1.15 1.0	0	0	
@Royals sign this man!!! https:// twitter.com/phhsactivities /status/864992950962593792 	0	1	
@Coach_Kennard95 are you bidding on a Royals charity?? It says J. Kennard!	0	0	
Royals Game!	0	0	
Here's how serious MLB is about drug use: They didn't start random testing until 2012. I hate the Yankees but Jeter did it right.	0	0	
MLB: Yankees might be buyers and not sellers when trade deadline approaches http:// ift.tt/2rgE6OT	0	0	
B-3rd: Omar Obregon hits a 2-out RBI single. #Yankees 3, #FireFrogs 1.	1	1	
#MLB A-Rod joins FS1 team for Yanks- Royals finale http:// dlvr.it/P9csRK pic.twitter.com/Pj2qmcdyb7	0	0	
A-Rod joins FS1 team for Yanks- Royals finale http:// dlvr.it/P9cs57	0	0	
Did the Yankees trade guys that were still under control last year? Like Gardner, Ellsbury?? No.	0	0	
Time for @Yankees Baseball. Let's gets another win tonight guys. Let's Go Yankees ! #NYYvsKC #PinstripePride #YANKSonYES #LetsGoYankees	0	0	
